ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
149,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
150,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
151,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
152,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
153,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
154,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
155,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
156,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
157,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
158,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
159,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
160,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
161,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
162,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
163,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
164,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
165,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
166,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
167,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
168,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
169,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
170,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
171,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
172,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
173,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
174,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
175,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
176,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
177,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
178,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
179,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
180,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
181,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
182,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
183,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
184,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
185,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
186,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
187,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
188,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
189,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
190,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
191,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
192,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
193,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
194,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
195,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
196,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
197,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
198,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
199,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
200,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
201,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
202,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
203,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
204,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
205,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
206,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
207,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
208,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
209,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
210,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
211,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
212,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
213,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
214,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
215,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
216,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
217,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
218,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
219,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
220,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
221,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
222,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
223,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
224,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
225,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
226,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
227,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
228,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
229,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
230,FGV,PM-SP,Direito Penal,Teoria do crime,"Sobre o arrependimento posterior (Art. 16, CP), assinale a correta:",Aplica-se com violência.,Reparação após a denúncia.,Reduz a pena de um a dois terços.,Exclui a ilicitude.,Prescinde de voluntariedade.,C,Redução legal de 1/3 a 2/3 se reparado antes do recebimento da denúncia.
231,VUNESP,PC-SP,Língua Portuguesa,"Crase, regência e concordância",Assinale a alternativa correta quanto à crase:,As investigações ficaram à cargo da Delegacia.,O escrivão deu início à lavratura do auto.,O suspeito recusou-se à prestar depoimento.,A equipe dirigiu-se à uma residência.,O perito respondeu à todas as perguntas.,B,Lavratura admite artigo feminino e início exige preposição a.
