ID,Banca,Corporacao,Materia,Tema,Enunciado,A,B,C,D,E,Gabarito,Explicacao
176,FCC,PP-SP,Direito Penal,Crimes contra a pessoa,"Sobre Crimes contra a pessoa, segundo o Código Penal e doutrina majoritária, assinale:",Crimes contra a pessoa é causa de exclusão da ilicitude em qualquer hipótese.,Crimes contra a pessoa permite redução de 1/3 a 2/3 se preenchidos requisitos legais.,Crimes contra a pessoa aplica-se apenas a crimes hediondos.,Crimes contra a pessoa prescinde de dolo para configuração.,Crimes contra a pessoa exclui a culpabilidade quando há coação moral irresistível.,C,Gabarito C. Crimes contra a pessoa em Direito Penal: conforme banca FCC para PP-SP. Conforme manual e legislação específica.
177,VUNESP,PM-SP,Direito Constitucional,Art. 144 CF,"Em Art. 144 CF, conforme Constituição Federal, é correto afirmar que:",Art. 144 CF depende de lei complementar para eficácia.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é direito fundamental de segunda dimensão.,Art. 144 CF não admite intervenção estatal.,Art. 144 CF é de competência exclusiva da União legislar.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para PM-SP. Conforme manual e legislação específica.
178,VUNESP,PC-SP,Direito Constitucional,Direitos fundamentais,"Quanto a Direitos fundamentais, no âmbito da segurança pública, assinale:",Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais é direito fundamental de segunda dimensão.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais não admite intervenção estatal.,B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
179,FGV,GCM-SP,Direito Constitucional,Organização do Estado,"Em Organização do Estado, conforme Constituição Federal, é correto afirmar que:",Organização do Estado é de competência exclusiva da União legislar.,Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado depende de lei complementar para eficácia.,"Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado não admite intervenção estatal.,B,Gabarito B. Organização do Estado em Direito Constitucional: conforme banca FGV para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
180,VUNESP,PM-SP,Direito Constitucional,Remédios constitucionais,"Quanto a Remédios constitucionais, no âmbito da segurança pública, assinale:",Remédios constitucionais não admite intervenção estatal.,Remédios constitucionais é de competência exclusiva da União legislar.,Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais depende de lei complementar para eficácia.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",B,Gabarito B. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para PM-SP. Conforme manual e legislação específica.
181,FGV,PC-SP,Direito Constitucional,Art. 144 CF,"Sobre Art. 144 CF na CF/88, assinale a alternativa correta:","Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF é direito fundamental de segunda dimensão.,Art. 144 CF depende de lei complementar para eficácia.,Art. 144 CF é de competência exclusiva da União legislar.,C,Gabarito C. Art. 144 CF em Direito Constitucional: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
182,FGV,PM-SP,Direito Constitucional,Remédios constitucionais,"Conforme art. 5º e Remédios constitucionais, para PM-SP, é correto:",Remédios constitucionais depende de lei complementar para eficácia.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais é de competência exclusiva da União legislar.,Remédios constitucionais não admite intervenção estatal.,Remédios constitucionais é direito fundamental de segunda dimensão.,C,Gabarito C. Remédios constitucionais em Direito Constitucional: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
183,FGV,PC-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para PC-SP, é correto:",Art. 144 CF é direito fundamental de segunda dimensão.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF depende de lei complementar para eficácia.,Art. 144 CF não admite intervenção estatal.,Art. 144 CF é de competência exclusiva da União legislar.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
184,FGV,PC-SP,Direito Constitucional,Direitos fundamentais,"Em Direitos fundamentais, conforme Constituição Federal, é correto afirmar que:",Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais é direito fundamental de segunda dimensão.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais não admite intervenção estatal.,Direitos fundamentais é de competência exclusiva da União legislar.,C,Gabarito C. Direitos fundamentais em Direito Constitucional: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
185,VUNESP,PM-SP,Direito Constitucional,Art. 144 CF,"Em Art. 144 CF, conforme Constituição Federal, é correto afirmar que:",Art. 144 CF depende de lei complementar para eficácia.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF não admite intervenção estatal.,Art. 144 CF é direito fundamental de segunda dimensão.,A,Gabarito A. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
186,VUNESP,PC-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para PC-SP, é correto:",Art. 144 CF é direito fundamental de segunda dimensão.,Art. 144 CF depende de lei complementar para eficácia.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF não admite intervenção estatal.,C,Gabarito C. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
187,FGV,GCM-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para GCM-SP, é correto:",Art. 144 CF é de competência exclusiva da União legislar.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF depende de lei complementar para eficácia.,Art. 144 CF é direito fundamental de segunda dimensão.,C,Gabarito C. Art. 144 CF em Direito Constitucional: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
188,VUNESP,PM-SP,Direito Constitucional,Segurança pública,"Em Segurança pública, conforme Constituição Federal, é correto afirmar que:",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública depende de lei complementar para eficácia.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública não admite intervenção estatal.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",A,Gabarito A. Segurança pública em Direito Constitucional: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
189,FGV,GCM-SP,Direito Constitucional,Art. 144 CF,"Em Art. 144 CF, conforme Constituição Federal, é correto afirmar que:",Art. 144 CF depende de lei complementar para eficácia.,Art. 144 CF é de competência exclusiva da União legislar.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é direito fundamental de segunda dimensão.,Art. 144 CF não admite intervenção estatal.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
190,FGV,GCM-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para GCM-SP, é correto:",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF é direito fundamental de segunda dimensão.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF depende de lei complementar para eficácia.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca FGV para GCM-SP. Conforme manual e legislação específica.
191,FGV,PC-SP,Direito Constitucional,Segurança pública,"Sobre Segurança pública na CF/88, assinale a alternativa correta:","Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública é de competência exclusiva da União legislar.,Segurança pública não admite intervenção estatal.,Segurança pública depende de lei complementar para eficácia.,Segurança pública é direito fundamental de segunda dimensão.,C,Gabarito C. Segurança pública em Direito Constitucional: conforme banca FGV para PC-SP. Entendimento pacificado nos tribunais superiores.
192,VUNESP,PM-SP,Direito Constitucional,Remédios constitucionais,"Sobre Remédios constitucionais na CF/88, assinale a alternativa correta:","Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais é de competência exclusiva da União legislar.,Remédios constitucionais depende de lei complementar para eficácia.,Remédios constitucionais não admite intervenção estatal.,C,Gabarito C. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
193,FGV,GCM-SP,Direito Constitucional,Art. 144 CF,"Quanto a Art. 144 CF, no âmbito da segurança pública, assinale:",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF é direito fundamental de segunda dimensão.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF depende de lei complementar para eficácia.,C,Gabarito C. Art. 144 CF em Direito Constitucional: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
194,FGV,GCM-SP,Direito Constitucional,Art. 144 CF,"Em Art. 144 CF, conforme Constituição Federal, é correto afirmar que:","Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF é direito fundamental de segunda dimensão.,Art. 144 CF não admite intervenção estatal.,Art. 144 CF depende de lei complementar para eficácia.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
195,FGV,PM-SP,Direito Constitucional,Segurança pública,"Sobre Segurança pública na CF/88, assinale a alternativa correta:",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública é de competência exclusiva da União legislar.,Segurança pública não admite intervenção estatal.,A,Gabarito A. Segurança pública em Direito Constitucional: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
196,VUNESP,GCM-SP,Direito Constitucional,Organização do Estado,"Quanto a Organização do Estado, no âmbito da segurança pública, assinale:",Organização do Estado depende de lei complementar para eficácia.,"Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado é de competência exclusiva da União legislar.,Organização do Estado não admite intervenção estatal.,B,Gabarito B. Organização do Estado em Direito Constitucional: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
197,VUNESP,PM-SP,Direito Constitucional,Poderes,"Quanto a Poderes, no âmbito da segurança pública, assinale:","Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes depende de lei complementar para eficácia.,Poderes é direito fundamental de segunda dimensão.,Poderes não admite intervenção estatal.,Poderes é de competência exclusiva da União legislar.,A,Gabarito A. Poderes em Direito Constitucional: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
198,FGV,PC-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para PC-SP, é correto:",Art. 144 CF não admite intervenção estatal.,Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF é direito fundamental de segunda dimensão.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF depende de lei complementar para eficácia.,A,Gabarito A. Art. 144 CF em Direito Constitucional: conforme banca FGV para PC-SP. Padrão cobrado em provas de áreas policiais SP.
199,VUNESP,PC-SP,Direito Constitucional,Poderes,"Conforme art. 5º e Poderes, para PC-SP, é correto:",Poderes é direito fundamental de segunda dimensão.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes depende de lei complementar para eficácia.,Poderes é de competência exclusiva da União legislar.,Poderes não admite intervenção estatal.,B,Gabarito B. Poderes em Direito Constitucional: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
200,VUNESP,PM-SP,Direito Constitucional,Direitos fundamentais,"Quanto a Direitos fundamentais, no âmbito da segurança pública, assinale:",Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais depende de lei complementar para eficácia.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais não admite intervenção estatal.,B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para PM-SP. Doutrina majoritária e jurisprudência atual.
201,VUNESP,GCM-SP,Direito Constitucional,Direitos fundamentais,"Conforme art. 5º e Direitos fundamentais, para GCM-SP, é correto:",Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais não admite intervenção estatal.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",C,Gabarito C. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para GCM-SP. Conforme manual e legislação específica.
202,FGV,PC-SP,Direito Constitucional,Segurança pública,"Conforme art. 5º e Segurança pública, para PC-SP, é correto:",Segurança pública não admite intervenção estatal.,Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,C,Gabarito C. Segurança pública em Direito Constitucional: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
203,FGV,PM-SP,Direito Constitucional,Segurança pública,"Sobre Segurança pública na CF/88, assinale a alternativa correta:",Segurança pública não admite intervenção estatal.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública depende de lei complementar para eficácia.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública é direito fundamental de segunda dimensão.,B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
204,FGV,PM-SP,Direito Constitucional,Direitos fundamentais,"Sobre Direitos fundamentais na CF/88, assinale a alternativa correta:",Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais é de competência exclusiva da União legislar.,Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais não admite intervenção estatal.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
205,VUNESP,PC-SP,Direito Constitucional,Poderes,"Sobre Poderes na CF/88, assinale a alternativa correta:","Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes depende de lei complementar para eficácia.,Poderes é direito fundamental de segunda dimensão.,Poderes é de competência exclusiva da União legislar.,Poderes não admite intervenção estatal.,B,Gabarito B. Poderes em Direito Constitucional: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
206,FGV,PM-SP,Direito Constitucional,Segurança pública,"Em Segurança pública, conforme Constituição Federal, é correto afirmar que:",Segurança pública não admite intervenção estatal.,Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,C,Gabarito C. Segurança pública em Direito Constitucional: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
207,VUNESP,PM-SP,Direito Constitucional,Poderes,"Em Poderes, conforme Constituição Federal, é correto afirmar que:",Poderes é direito fundamental de segunda dimensão.,Poderes depende de lei complementar para eficácia.,Poderes é de competência exclusiva da União legislar.,Poderes não admite intervenção estatal.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",B,Gabarito B. Poderes em Direito Constitucional: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
208,VUNESP,PC-SP,Direito Constitucional,Organização do Estado,"Sobre Organização do Estado na CF/88, assinale a alternativa correta:",Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado é de competência exclusiva da União legislar.,Organização do Estado depende de lei complementar para eficácia.,"Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado não admite intervenção estatal.,C,Gabarito C. Organização do Estado em Direito Constitucional: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
209,VUNESP,PC-SP,Direito Constitucional,Art. 144 CF,"Conforme art. 5º e Art. 144 CF, para PC-SP, é correto:",Art. 144 CF é direito fundamental de segunda dimensão.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF não admite intervenção estatal.,Art. 144 CF depende de lei complementar para eficácia.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
210,VUNESP,GCM-SP,Direito Constitucional,Direitos fundamentais,"Sobre Direitos fundamentais na CF/88, assinale a alternativa correta:",Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais não admite intervenção estatal.,Direitos fundamentais é de competência exclusiva da União legislar.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
211,FGV,PC-SP,Direito Constitucional,Poderes,"Quanto a Poderes, no âmbito da segurança pública, assinale:",Poderes é de competência exclusiva da União legislar.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,Poderes é direito fundamental de segunda dimensão.,C,Gabarito C. Poderes em Direito Constitucional: conforme banca FGV para PC-SP. Doutrina majoritária e jurisprudência atual.
212,FGV,GCM-SP,Direito Constitucional,Art. 144 CF,"Em Art. 144 CF, conforme Constituição Federal, é correto afirmar que:",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF depende de lei complementar para eficácia.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF é direito fundamental de segunda dimensão.,C,Gabarito C. Art. 144 CF em Direito Constitucional: conforme banca FGV para GCM-SP. Doutrina majoritária e jurisprudência atual.
213,FGV,PM-SP,Direito Constitucional,Direitos fundamentais,"Conforme art. 5º e Direitos fundamentais, para PM-SP, é correto:",Direitos fundamentais é de competência exclusiva da União legislar.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais não admite intervenção estatal.,Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais depende de lei complementar para eficácia.,B,Gabarito B. Direitos fundamentais em Direito Constitucional: conforme banca FGV para PM-SP. Entendimento pacificado nos tribunais superiores.
214,VUNESP,PC-SP,Direito Constitucional,Remédios constitucionais,"Quanto a Remédios constitucionais, no âmbito da segurança pública, assinale:",Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais depende de lei complementar para eficácia.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais não admite intervenção estatal.,Remédios constitucionais é de competência exclusiva da União legislar.,C,Gabarito C. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
215,VUNESP,GCM-SP,Direito Constitucional,Poderes,"Em Poderes, conforme Constituição Federal, é correto afirmar que:",Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,Poderes é de competência exclusiva da União legislar.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes é direito fundamental de segunda dimensão.,A,Gabarito A. Poderes em Direito Constitucional: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
216,VUNESP,PC-SP,Direito Constitucional,Poderes,"Conforme art. 5º e Poderes, para PC-SP, é correto:",Poderes é direito fundamental de segunda dimensão.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,Poderes é de competência exclusiva da União legislar.,A,Gabarito A. Poderes em Direito Constitucional: conforme banca VUNESP para PC-SP. Conforme manual e legislação específica.
217,VUNESP,PM-SP,Direito Constitucional,Segurança pública,"Em Segurança pública, conforme Constituição Federal, é correto afirmar que:",Segurança pública depende de lei complementar para eficácia.,Segurança pública não admite intervenção estatal.,Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca VUNESP para PM-SP. Conforme manual e legislação específica.
218,VUNESP,PC-SP,Direito Constitucional,Art. 144 CF,"Sobre Art. 144 CF na CF/88, assinale a alternativa correta:","Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF depende de lei complementar para eficácia.,Art. 144 CF é direito fundamental de segunda dimensão.,C,Gabarito C. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para PC-SP. Doutrina majoritária e jurisprudência atual.
219,VUNESP,PM-SP,Direito Constitucional,Segurança pública,"Quanto a Segurança pública, no âmbito da segurança pública, assinale:",Segurança pública não admite intervenção estatal.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública é direito fundamental de segunda dimensão.,Segurança pública depende de lei complementar para eficácia.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",A,Gabarito A. Segurança pública em Direito Constitucional: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
220,FGV,GCM-SP,Direito Constitucional,Segurança pública,"Em Segurança pública, conforme Constituição Federal, é correto afirmar que:",Segurança pública depende de lei complementar para eficácia.,Segurança pública não admite intervenção estatal.,Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",C,Gabarito C. Segurança pública em Direito Constitucional: conforme banca FGV para GCM-SP. Entendimento pacificado nos tribunais superiores.
221,VUNESP,GCM-SP,Direito Constitucional,Organização do Estado,"Sobre Organização do Estado na CF/88, assinale a alternativa correta:",Organização do Estado é de competência exclusiva da União legislar.,"Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado depende de lei complementar para eficácia.,Organização do Estado não admite intervenção estatal.,C,Gabarito C. Organização do Estado em Direito Constitucional: conforme banca VUNESP para GCM-SP. Entendimento pacificado nos tribunais superiores.
222,FGV,PM-SP,Direito Constitucional,Poderes,"Sobre Poderes na CF/88, assinale a alternativa correta:",Poderes depende de lei complementar para eficácia.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes é direito fundamental de segunda dimensão.,Poderes não admite intervenção estatal.,Poderes é de competência exclusiva da União legislar.,C,Gabarito C. Poderes em Direito Constitucional: conforme banca FGV para PM-SP. Padrão cobrado em provas de áreas policiais SP.
223,VUNESP,PM-SP,Direito Constitucional,Organização do Estado,"Conforme art. 5º e Organização do Estado, para PM-SP, é correto:",Organização do Estado é de competência exclusiva da União legislar.,Organização do Estado é direito fundamental de segunda dimensão.,"Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado não admite intervenção estatal.,Organização do Estado depende de lei complementar para eficácia.,C,Gabarito C. Organização do Estado em Direito Constitucional: conforme banca VUNESP para PM-SP. Padrão cobrado em provas de áreas policiais SP.
224,VUNESP,PM-SP,Direito Constitucional,Organização do Estado,"Conforme art. 5º e Organização do Estado, para PM-SP, é correto:","Organização do Estado é cláusula pétrea conforme art. 60, §4º, CF.",Organização do Estado depende de lei complementar para eficácia.,Organização do Estado é direito fundamental de segunda dimensão.,Organização do Estado é de competência exclusiva da União legislar.,Organização do Estado não admite intervenção estatal.,B,Gabarito B. Organização do Estado em Direito Constitucional: conforme banca VUNESP para PM-SP. Entendimento pacificado nos tribunais superiores.
225,VUNESP,PC-SP,Direito Constitucional,Remédios constitucionais,"Sobre Remédios constitucionais na CF/88, assinale a alternativa correta:",Remédios constitucionais é de competência exclusiva da União legislar.,Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais não admite intervenção estatal.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais depende de lei complementar para eficácia.,B,Gabarito B. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para PC-SP. Entendimento pacificado nos tribunais superiores.
226,VUNESP,PC-SP,Direito Constitucional,Direitos fundamentais,"Conforme art. 5º e Direitos fundamentais, para PC-SP, é correto:",Direitos fundamentais depende de lei complementar para eficácia.,Direitos fundamentais é direito fundamental de segunda dimensão.,Direitos fundamentais é de competência exclusiva da União legislar.,"Direitos fundamentais é cláusula pétrea conforme art. 60, §4º, CF.",Direitos fundamentais não admite intervenção estatal.,C,Gabarito C. Direitos fundamentais em Direito Constitucional: conforme banca VUNESP para PC-SP. Padrão cobrado em provas de áreas policiais SP.
227,FGV,PM-SP,Direito Constitucional,Art. 144 CF,"Quanto a Art. 144 CF, no âmbito da segurança pública, assinale:",Art. 144 CF é direito fundamental de segunda dimensão.,Art. 144 CF depende de lei complementar para eficácia.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF não admite intervenção estatal.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca FGV para PM-SP. Conforme manual e legislação específica.
228,VUNESP,GCM-SP,Direito Constitucional,Remédios constitucionais,"Quanto a Remédios constitucionais, no âmbito da segurança pública, assinale:",Remédios constitucionais é direito fundamental de segunda dimensão.,Remédios constitucionais depende de lei complementar para eficácia.,Remédios constitucionais não admite intervenção estatal.,"Remédios constitucionais é cláusula pétrea conforme art. 60, §4º, CF.",Remédios constitucionais é de competência exclusiva da União legislar.,C,Gabarito C. Remédios constitucionais em Direito Constitucional: conforme banca VUNESP para GCM-SP. Doutrina majoritária e jurisprudência atual.
229,VUNESP,GCM-SP,Direito Constitucional,Art. 144 CF,"Sobre Art. 144 CF na CF/88, assinale a alternativa correta:",Art. 144 CF depende de lei complementar para eficácia.,"Art. 144 CF é cláusula pétrea conforme art. 60, §4º, CF.",Art. 144 CF não admite intervenção estatal.,Art. 144 CF é de competência exclusiva da União legislar.,Art. 144 CF é direito fundamental de segunda dimensão.,B,Gabarito B. Art. 144 CF em Direito Constitucional: conforme banca VUNESP para GCM-SP. Padrão cobrado em provas de áreas policiais SP.
230,FGV,PC-SP,Direito Constitucional,Segurança pública,"Quanto a Segurança pública, no âmbito da segurança pública, assinale:",Segurança pública é direito fundamental de segunda dimensão.,Segurança pública é de competência exclusiva da União legislar.,Segurança pública não admite intervenção estatal.,"Segurança pública é cláusula pétrea conforme art. 60, §4º, CF.",Segurança pública depende de lei complementar para eficácia.,B,Gabarito B. Segurança pública em Direito Constitucional: conforme banca FGV para PC-SP. Conforme manual e legislação específica.
231,FGV,PM-SP,Direito Constitucional,Poderes,"Sobre Poderes na CF/88, assinale a alternativa correta:",Poderes depende de lei complementar para eficácia.,Poderes não admite intervenção estatal.,Poderes é direito fundamental de segunda dimensão.,"Poderes é cláusula pétrea conforme art. 60, §4º, CF.",Poderes é de competência exclusiva da União legislar.,C,Gabarito C. Poderes em Direito Constitucional: conforme banca FGV para PM-SP. Doutrina majoritária e jurisprudência atual.
